Initiative Name,Initiative Type,Country,Lead Organization,Budget (USD million),Start Year,Targeted Completion Year,Expected Impact,Actual Impact,Number of Jobs Created,Funding Source,Public Awareness Level (%),Technology Used,Geographical Coverage (sq km),Annual Progress Report,Community Engagement Level (%),Policy Alignment,Emission Reduction per Year (tonnes),Renewable Energy Capacity Added (MW),Green Infrastructure Developed (km)
Clean Transportation Initiative in France #272,Clean Transportation Initiative,France,Global Renewable Group,1116,2016,2029,0.47,0.57,89518,Private Sector,78,Hydropower,247127,no,76,National,406535,34152,841
Clean Transportation Initiative in Canada #273,Clean Transportation Initiative,Canada,Clean Energy Foundation,963,2014,2025,0.97,0.36,92915,Private Sector,51,Bioenergy,157812,no,88,National,1654541,30825,425
Energy Efficiency Campaign in India #274,Energy Efficiency Campaign,India,Eco Warriors,1700,2020,2031,0.98,0.78,25572,International Aid,96,Wind,67742,yes,84,National,1768637,884,87
Sustainable Agriculture Program in Canada #275,Sustainable Agriculture Program,Canada,Eco Innovation Lab,1764,2011,2019,0.84,0.47,37513,International Aid,65,Bioenergy,129809,yes,87,International,1752617,29802,406
Emission Control Program in UK #276,Emission Control Program,UK,Sustainable Future Org,1455,2022,2027,0.2,0.71,2119,Private Sector,90,Solar,477239,yes,54,National,72246,14040,931
Energy Efficiency Campaign in Australia #277,Energy Efficiency Campaign,Australia,Global Renewable Group,326,2025,2039,0.13,0.71,15257,International Aid,87,Hydropower,483448,yes,80,International,734160,19004,951
Waste Management Plan in France #278,Waste Management Plan,France,Clean Energy Foundation,1185,2024,2029,0.46,0.84,41347,Government,52,Bioenergy,396814,yes,87,International,1666383,2579,205
Climate Education Program in UK #279,Climate Education Program,UK,Eco Innovation Lab,325,2015,2023,0.2,0.95,88525,International Aid,61,None,446450,yes,59,National,755584,43097,156
Renewable Energy Project in Japan #280,Renewable Energy Project,Japan,Climate Action Network,1265,2021,2030,0.27,0.99,97005,Private Sector,62,Hydropower,294763,no,66,International,1650643,18507,43
Waste Management Plan in Australia #281,Waste Management Plan,Australia,Sustainable Future Org,844,2020,2027,0.18,0.76,55685,Government,58,None,258862,yes,62,International,1773337,38001,949
Sustainable Agriculture Program in Germany #282,Sustainable Agriculture Program,Germany,Eco Innovation Lab,1683,2014,2026,0.64,0.35,84787,International Aid,92,Geothermal,296120,no,79,National,965864,26512,608
Climate Education Program in India #283,Climate Education Program,India,Global Renewable Group,895,2016,2030,0.34,0.65,31168,Private Sector,97,Wind,402561,yes,87,International,558498,2464,815
Green Infrastructure Development in Japan #284,Green Infrastructure Development,Japan,Earth Guardians,620,2021,2026,0.75,0.96,30487,International Aid,87,Wind,181841,no,53,National,1732186,44210,173
Energy Efficiency Campaign in Brazil #285,Energy Efficiency Campaign,Brazil,Global Renewable Group,569,2014,2019,0.83,0.1,6224,International Aid,67,Solar,335008,no,87,International,1938211,44603,827
Climate Education Program in Australia #286,Climate Education Program,Australia,Eco Innovation Lab,1457,2015,2021,0.95,0.24,94250,International Aid,100,Wind,168676,yes,56,National,1484642,22277,636
Green Infrastructure Development in China #287,Green Infrastructure Development,China,Global Renewable Group,897,2011,2024,0.98,0.44,24677,Government,84,Hydropower,365023,no,64,National,999137,11394,35
Reforestation Initiative in France #288,Reforestation Initiative,France,Clean Energy Foundation,1434,2017,2026,0.87,0.35,83940,Government,70,Bioenergy,169106,yes,53,National,302244,10336,715
Water Conservation Project in USA #289,Water Conservation Project,USA,Zero Emissions Initiative,1608,2013,2021,0.75,0.24,5133,Government,76,Solar,495413,yes,52,National,1806861,20604,690
Clean Transportation Initiative in India #290,Clean Transportation Initiative,India,Green Growth Initiative,1956,2020,2030,0.69,0.11,92660,International Aid,97,Hydropower,381559,no,61,National,1962493,39404,464
Energy Efficiency Campaign in Canada #291,Energy Efficiency Campaign,Canada,Global Renewable Group,468,2025,2038,0.11,0.69,75351,Private Sector,87,Wind,170383,yes,89,National,1378430,19157,923
Waste Management Plan in Canada #292,Waste Management Plan,Canada,Sustainable Future Org,1461,2019,2034,0.85,0.09,11176,Private Sector,68,Solar,314181,no,50,National,480164,6833,911
Water Conservation Project in UK #293,Water Conservation Project,UK,Green Growth Initiative,379,2010,2020,0.85,0.27,96737,Government,79,Bioenergy,403093,yes,51,National,644730,11583,451
Sustainable Agriculture Program in Germany #294,Sustainable Agriculture Program,Germany,Earth Guardians,1365,2013,2026,0.13,1,14212,International Aid,53,Solar,415176,no,66,National,543270,48145,86
Reforestation Initiative in UK #295,Reforestation Initiative,UK,Green Earth Alliance,1279,2012,2022,0.52,0.13,98264,International Aid,74,Geothermal,392712,no,93,International,217422,23894,205
Emission Control Program in Japan #296,Emission Control Program,Japan,Eco Innovation Lab,1851,2014,2028,0.82,0.89,95391,International Aid,62,Bioenergy,499658,yes,86,National,855124,44062,550
Waste Management Plan in Canada #297,Waste Management Plan,Canada,Global Renewable Group,1739,2023,2036,1,0.23,81593,Government,98,Solar,274041,yes,90,National,149048,5440,945
Sustainable Agriculture Program in Canada #298,Sustainable Agriculture Program,Canada,Eco Warriors,642,2013,2019,0.49,0.67,59073,International Aid,85,None,454600,yes,67,International,64552,3500,791
Climate Education Program in India #299,Climate Education Program,India,Clean Energy Foundation,952,2011,2017,0.85,0.87,28422,Private Sector,64,Hydropower,5071,no,74,International,320287,25470,175
Sustainable Agriculture Program in Brazil #300,Sustainable Agriculture Program,Brazil,Earth Guardians,1029,2011,2025,0.26,0.43,26625,International Aid,100,Solar,118255,no,78,National,1504037,22339,641
Climate Education Program in Canada #301,Climate Education Program,Canada,Eco Innovation Lab,744,2021,2030,0.73,0.95,12734,Government,98,Hydropower,255026,yes,53,International,1318274,26004,112
Water Conservation Project in China #302,Water Conservation Project,China,Earth Guardians,1517,2013,2022,0.23,0.53,33035,Private Sector,70,Wind,119107,no,85,National,534972,42255,777
Water Conservation Project in Australia #303,Water Conservation Project,Australia,Green Growth Initiative,624,2025,2031,0.66,0.86,98519,Private Sector,92,Solar,245011,no,51,National,414400,35646,102
Water Conservation Project in USA #304,Water Conservation Project,USA,Eco Innovation Lab,1441,2023,2028,0.76,0.05,95018,Government,74,Hydropower,389914,no,62,National,1609993,22347,302
Reforestation Initiative in India #305,Reforestation Initiative,India,Earth Guardians,468,2011,2026,0.6,0.42,13916,Private Sector,75,Wind,188110,no,94,National,694025,10940,674
Green Infrastructure Development in Germany #306,Green Infrastructure Development,Germany,Earth Guardians,293,2017,2032,0.1,0.91,38056,Government,50,None,11073,yes,52,National,1200029,37656,920
Reforestation Initiative in India #307,Reforestation Initiative,India,Eco Warriors,347,2018,2029,0.17,0.28,4691,International Aid,52,Bioenergy,256328,no,83,International,1081997,34781,530
Climate Education Program in USA #308,Climate Education Program,USA,Sustainable Future Org,1721,2010,2019,0.14,0.33,66762,Private Sector,64,None,280325,no,78,International,773244,28820,991
Energy Efficiency Campaign in USA #309,Energy Efficiency Campaign,USA,Climate Action Network,840,2016,2022,0.74,0.63,30336,Private Sector,75,Wind,254999,yes,62,National,184727,225,646
Water Conservation Project in UK #310,Water Conservation Project,UK,Eco Innovation Lab,551,2011,2017,0.42,0.77,53647,Private Sector,96,Hydropower,286357,yes,99,National,41802,16703,534
Clean Transportation Initiative in Brazil #311,Clean Transportation Initiative,Brazil,Green Earth Alliance,1704,2010,2020,0.31,0.17,80715,International Aid,72,Bioenergy,269999,no,84,National,1143995,19697,950
Emission Control Program in Germany #312,Emission Control Program,Germany,Zero Emissions Initiative,1711,2020,2028,0.7,0.35,43663,Government,83,None,16682,yes,87,National,552251,7432,293
Climate Education Program in Australia #313,Climate Education Program,Australia,Green Earth Alliance,474,2015,2028,0.4,0.12,97373,Government,100,Solar,492755,yes,76,National,469414,21193,804
Green Infrastructure Development in Brazil #314,Green Infrastructure Development,Brazil,Clean Energy Foundation,1954,2012,2024,0.91,0.3,96847,Private Sector,69,None,49816,no,69,International,387864,22564,579
Water Conservation Project in Japan #315,Water Conservation Project,Japan,Zero Emissions Initiative,911,2015,2024,0.74,0.32,35245,International Aid,64,Geothermal,110621,yes,76,National,1244935,18966,392
Reforestation Initiative in China #316,Reforestation Initiative,China,Climate Action Network,1380,2017,2026,0.24,0.25,8322,Private Sector,87,Geothermal,272297,no,66,International,131893,25832,119
Water Conservation Project in Canada #317,Water Conservation Project,Canada,Earth Guardians,395,2020,2034,0.12,0.34,77059,International Aid,77,Bioenergy,485357,yes,70,International,1429642,21290,37
Climate Education Program in Canada #318,Climate Education Program,Canada,Zero Emissions Initiative,1775,2013,2026,0.67,0.83,71651,Government,59,Bioenergy,257774,no,64,National,233773,33016,92
Renewable Energy Project in Japan #319,Renewable Energy Project,Japan,Sustainable Future Org,1267,2011,2019,0.86,0.05,40947,Private Sector,96,None,295414,no,77,National,334027,46950,507
Green Infrastructure Development in France #320,Green Infrastructure Development,France,Green Growth Initiative,183,2023,2037,0.57,0.29,71910,International Aid,86,Solar,409593,yes,74,International,756455,43016,319
Waste Management Plan in Brazil #321,Waste Management Plan,Brazil,Green Earth Alliance,1182,2023,2031,0.7,0.88,3692,Government,93,None,36829,yes,92,International,1149124,40172,890
Renewable Energy Project in China #322,Renewable Energy Project,China,Sustainable Future Org,986,2010,2021,0.57,0.39,84049,International Aid,78,Solar,431314,yes,54,National,1182318,49106,315
Reforestation Initiative in Canada #323,Reforestation Initiative,Canada,Green Earth Alliance,870,2023,2038,0.06,0.5,99018,International Aid,100,Geothermal,217843,yes,74,International,532404,6683,494
Climate Education Program in USA #324,Climate Education Program,USA,Earth Guardians,1603,2024,2035,0.46,0.95,55128,Private Sector,98,None,466078,no,74,National,629015,39136,77
Climate Education Program in Germany #325,Climate Education Program,Germany,Clean Energy Foundation,1429,2011,2025,0.86,0.31,41102,International Aid,85,Solar,131151,no,92,National,473634,17496,788
Reforestation Initiative in Australia #326,Reforestation Initiative,Australia,Clean Energy Foundation,1709,2018,2032,0.17,0.42,82352,Government,95,Solar,297024,no,50,National,270841,37667,52
Sustainable Agriculture Program in China #327,Sustainable Agriculture Program,China,Zero Emissions Initiative,111,2024,2031,0.64,0.89,72707,International Aid,78,Solar,348761,no,69,National,1310737,3788,178
Reforestation Initiative in Canada #328,Reforestation Initiative,Canada,Eco Innovation Lab,667,2018,2027,0.27,0.33,2201,Private Sector,79,Solar,462133,no,80,National,75730,42007,237
Sustainable Agriculture Program in Canada #329,Sustainable Agriculture Program,Canada,Clean Energy Foundation,884,2015,2028,0.07,0.15,5540,Private Sector,51,Bioenergy,198697,no,82,International,31914,27545,74
Waste Management Plan in Japan #330,Waste Management Plan,Japan,Global Renewable Group,1732,2010,2023,0.34,0.22,35817,Government,69,Geothermal,495382,yes,91,National,900670,11111,537
Reforestation Initiative in Brazil #331,Reforestation Initiative,Brazil,Clean Energy Foundation,614,2013,2025,0.36,0.23,55226,Private Sector,76,Hydropower,263401,yes,76,National,1254994,15679,580
Clean Transportation Initiative in China #332,Clean Transportation Initiative,China,Clean Energy Foundation,1147,2018,2024,0.15,0.08,17256,International Aid,62,Hydropower,254085,no,64,National,1300337,49225,237
Emission Control Program in Japan #333,Emission Control Program,Japan,Green Earth Alliance,1413,2023,2029,0.59,0.05,59188,Private Sector,63,Geothermal,51564,no,60,International,613042,32710,658
Sustainable Agriculture Program in France #334,Sustainable Agriculture Program,France,Climate Action Network,1852,2022,2029,0.94,0.37,55395,Private Sector,69,Solar,259568,yes,66,International,276864,33056,341
Waste Management Plan in India #335,Waste Management Plan,India,Zero Emissions Initiative,1546,2010,2020,0.2,0.27,86321,International Aid,92,Geothermal,372713,yes,56,International,1107341,9766,171
Reforestation Initiative in Canada #336,Reforestation Initiative,Canada,Climate Action Network,110,2016,2029,0.45,0.99,57660,Private Sector,91,Geothermal,302403,no,95,International,403372,36127,383
Renewable Energy Project in China #337,Renewable Energy Project,China,Green Earth Alliance,397,2014,2021,0.66,0.82,78625,International Aid,66,Bioenergy,123908,no,51,National,117421,36634,875
Green Infrastructure Development in Australia #338,Green Infrastructure Development,Australia,Green Growth Initiative,1818,2017,2024,0.08,0.98,55429,Government,72,Wind,248352,no,91,National,1774835,9691,644
Energy Efficiency Campaign in Brazil #339,Energy Efficiency Campaign,Brazil,Climate Action Network,1492,2011,2024,1,0.37,8841,Private Sector,64,None,346696,no,61,National,796275,28268,312
Waste Management Plan in Australia #340,Waste Management Plan,Australia,Zero Emissions Initiative,1402,2017,2025,0.99,0.6,38926,International Aid,59,Wind,368537,yes,62,National,1209928,47971,943
Water Conservation Project in Japan #341,Water Conservation Project,Japan,Green Growth Initiative,1314,2020,2028,0.52,0.21,83283,Private Sector,73,Geothermal,214904,no,73,International,742375,37949,826
Sustainable Agriculture Program in Australia #342,Sustainable Agriculture Program,Australia,Earth Guardians,940,2010,2019,1,0.89,59218,Private Sector,61,Geothermal,319565,yes,51,National,1786486,47349,678
Waste Management Plan in Japan #343,Waste Management Plan,Japan,Global Renewable Group,760,2024,2030,0.83,0.92,65817,Private Sector,84,Bioenergy,439001,no,58,National,1209741,22262,785
Reforestation Initiative in India #344,Reforestation Initiative,India,Green Earth Alliance,383,2017,2023,0.52,0.35,2815,Private Sector,89,Geothermal,163455,no,61,International,596752,41489,872
Water Conservation Project in Australia #345,Water Conservation Project,Australia,Earth Guardians,316,2023,2032,0.6,0.58,13646,International Aid,79,None,264492,yes,79,National,1704889,23634,309
Reforestation Initiative in Australia #346,Reforestation Initiative,Australia,Green Earth Alliance,251,2022,2028,0.38,0.82,9383,Private Sector,81,Solar,383285,yes,94,International,707422,29595,376
Climate Education Program in Australia #347,Climate Education Program,Australia,Sustainable Future Org,399,2017,2024,0.69,0.13,5107,Government,54,None,201974,no,84,International,1024442,30074,704
Water Conservation Project in Germany #348,Water Conservation Project,Germany,Green Growth Initiative,849,2011,2021,0.31,0.53,1870,Government,57,Solar,36251,no,66,International,559574,25569,727
Sustainable Agriculture Program in Brazil #349,Sustainable Agriculture Program,Brazil,Green Earth Alliance,1942,2018,2026,0.85,0.42,78979,Private Sector,97,Geothermal,398261,yes,97,International,1337099,23094,635
Clean Transportation Initiative in USA #350,Clean Transportation Initiative,USA,Global Renewable Group,1692,2023,2030,0.46,0.36,71148,Government,50,None,179182,yes,84,International,957272,48600,941
Green Infrastructure Development in USA #351,Green Infrastructure Development,USA,Green Earth Alliance,1250,2017,2025,0.36,0.36,63222,Government,64,Solar,241221,yes,90,International,512169,48950,61
Clean Transportation Initiative in Germany #352,Clean Transportation Initiative,Germany,Global Renewable Group,1492,2017,2025,0.36,0.72,32304,Government,66,None,13425,yes,81,International,1017999,9914,279
Clean Transportation Initiative in UK #353,Clean Transportation Initiative,UK,Green Earth Alliance,748,2016,2025,0.84,0.09,95804,International Aid,67,Geothermal,4234,no,65,National,1482255,21211,943
Reforestation Initiative in Australia #354,Reforestation Initiative,Australia,Eco Warriors,1834,2020,2032,0.92,0.96,14325,Private Sector,94,Bioenergy,41917,no,57,National,283824,5812,426
Reforestation Initiative in Canada #355,Reforestation Initiative,Canada,Zero Emissions Initiative,232,2015,2026,0.95,0.22,93270,Government,68,None,49865,yes,66,National,1803140,35586,932
Renewable Energy Project in China #356,Renewable Energy Project,China,Zero Emissions Initiative,1039,2015,2020,0.97,0.8,14013,Private Sector,100,Solar,274164,no,82,National,459702,2771,140
Clean Transportation Initiative in Canada #357,Clean Transportation Initiative,Canada,Eco Innovation Lab,1987,2012,2021,0.54,0.4,17771,International Aid,51,Geothermal,378026,yes,96,National,1072005,30906,362
Emission Control Program in France #358,Emission Control Program,France,Green Growth Initiative,810,2015,2020,0.21,0.43,84571,Government,72,Solar,309277,no,89,National,79719,48215,897
Green Infrastructure Development in France #359,Green Infrastructure Development,France,Eco Innovation Lab,1056,2017,2032,0.21,0.25,13745,Private Sector,71,Hydropower,494855,yes,62,National,1895984,35495,167
Waste Management Plan in USA #360,Waste Management Plan,USA,Clean Energy Foundation,61,2013,2025,0.88,0.47,69824,Private Sector,71,Hydropower,53769,yes,58,National,210946,45873,448
Clean Transportation Initiative in Japan #361,Clean Transportation Initiative,Japan,Eco Innovation Lab,1181,2025,2032,0.47,0.28,76073,Government,60,Hydropower,323260,yes,83,International,910382,36906,493
Emission Control Program in Australia #362,Emission Control Program,Australia,Clean Energy Foundation,1284,2013,2024,0.91,0.91,64519,International Aid,91,Bioenergy,125196,yes,91,National,1044287,37531,234
Waste Management Plan in Japan #363,Waste Management Plan,Japan,Eco Innovation Lab,1500,2019,2034,0.22,0.64,39284,Private Sector,76,None,143400,yes,95,National,1034818,43459,509
Water Conservation Project in Japan #364,Water Conservation Project,Japan,Green Growth Initiative,830,2021,2027,0.9,0.17,41604,Government,58,Solar,146359,no,100,National,1450516,12022,877
Sustainable Agriculture Program in China #365,Sustainable Agriculture Program,China,Green Earth Alliance,629,2016,2024,0.99,0.45,82689,Private Sector,72,Bioenergy,492094,yes,50,International,850209,45290,388
Climate Education Program in UK #366,Climate Education Program,UK,Earth Guardians,1624,2014,2028,0.88,0.76,59643,International Aid,89,Wind,217245,no,61,National,1802665,22505,653
Emission Control Program in Brazil #367,Emission Control Program,Brazil,Green Earth Alliance,1414,2024,2036,0.52,0.07,10978,International Aid,73,Bioenergy,254990,no,73,International,481797,19304,728
Waste Management Plan in Canada #368,Waste Management Plan,Canada,Green Earth Alliance,1772,2013,2020,0.87,0.08,56106,Private Sector,73,Solar,303265,yes,86,National,959154,4904,730
Clean Transportation Initiative in Brazil #369,Clean Transportation Initiative,Brazil,Global Renewable Group,471,2020,2028,0.54,0.91,17711,Private Sector,63,Solar,16827,no,100,International,1431304,48585,734
Water Conservation Project in Germany #370,Water Conservation Project,Germany,Zero Emissions Initiative,582,2019,2024,0.24,0.58,62490,International Aid,80,Bioenergy,270724,yes,58,International,587435,5982,383
Clean Transportation Initiative in Australia #371,Clean Transportation Initiative,Australia,Eco Innovation Lab,1251,2021,2034,0.44,0.66,36959,Private Sector,54,Solar,76671,no,60,International,458736,10294,90
Clean Transportation Initiative in India #372,Clean Transportation Initiative,India,Eco Warriors,1797,2019,2034,0.13,0.1,43643,Private Sector,77,Bioenergy,317777,no,93,National,1195819,44334,966
Water Conservation Project in Japan #373,Water Conservation Project,Japan,Clean Energy Foundation,1339,2016,2026,0.8,0.58,9831,Government,95,Bioenergy,397060,yes,60,National,1996109,39103,512
Emission Control Program in France #374,Emission Control Program,France,Green Growth Initiative,1975,2021,2029,0.32,0.61,19792,Government,57,Hydropower,314370,yes,95,National,939238,21009,69
Reforestation Initiative in Japan #375,Reforestation Initiative,Japan,Eco Warriors,1671,2019,2027,0.8,0.97,68948,International Aid,87,Bioenergy,456251,yes,56,International,102970,1676,331
Waste Management Plan in UK #376,Waste Management Plan,UK,Sustainable Future Org,1378,2013,2019,1,0.87,51407,Private Sector,52,Wind,321864,yes,50,National,1997469,31132,532
Reforestation Initiative in Brazil #377,Reforestation Initiative,Brazil,Climate Action Network,1676,2014,2021,0.67,0.99,70118,International Aid,65,None,85404,yes,66,National,1904017,24720,708
Climate Education Program in Australia #378,Climate Education Program,Australia,Sustainable Future Org,881,2016,2025,0.64,0.95,32768,International Aid,92,Solar,168788,yes,87,National,1473363,29753,181
Clean Transportation Initiative in USA #379,Clean Transportation Initiative,USA,Green Earth Alliance,1962,2010,2021,0.62,0.34,54139,Private Sector,72,Hydropower,273962,yes,89,International,1547060,29349,672
Climate Education Program in UK #380,Climate Education Program,UK,Clean Energy Foundation,399,2013,2023,0.07,0.92,71400,Private Sector,97,Solar,107567,yes,80,National,705589,7695,603
Energy Efficiency Campaign in USA #381,Energy Efficiency Campaign,USA,Clean Energy Foundation,648,2012,2021,0.69,0.3,1464,Government,51,Solar,468494,no,56,International,1337365,1631,201
Energy Efficiency Campaign in Germany #382,Energy Efficiency Campaign,Germany,Green Growth Initiative,1143,2022,2034,0.8,0.95,93060,Government,75,Hydropower,66274,yes,67,National,658818,22653,566
Clean Transportation Initiative in Germany #383,Clean Transportation Initiative,Germany,Climate Action Network,630,2015,2026,0.9,0.91,16907,Private Sector,69,Bioenergy,212524,yes,75,National,1164372,36133,910
Green Infrastructure Development in USA #384,Green Infrastructure Development,USA,Zero Emissions Initiative,623,2021,2036,0.41,0.83,46030,Government,90,Bioenergy,395958,no,62,International,615963,48500,81
Energy Efficiency Campaign in France #385,Energy Efficiency Campaign,France,Eco Warriors,306,2023,2038,0.89,0.2,88362,International Aid,82,Wind,426704,no,99,National,1155195,17384,609
Renewable Energy Project in USA #386,Renewable Energy Project,USA,Climate Action Network,1292,2024,2033,0.74,0.86,31920,International Aid,78,Wind,392257,no,85,National,1308031,33780,497
Energy Efficiency Campaign in Brazil #387,Energy Efficiency Campaign,Brazil,Green Earth Alliance,1673,2016,2030,0.97,0.44,24010,International Aid,79,Geothermal,137128,no,63,National,442782,4390,547
Sustainable Agriculture Program in Germany #388,Sustainable Agriculture Program,Germany,Eco Innovation Lab,134,2020,2025,0.27,0.82,22633,International Aid,96,Hydropower,110857,yes,80,International,1455172,18699,928
Climate Education Program in Australia #389,Climate Education Program,Australia,Eco Warriors,268,2015,2029,0.13,0.33,44092,Government,58,Bioenergy,343524,no,98,International,530890,47729,965
Clean Transportation Initiative in Japan #390,Clean Transportation Initiative,Japan,Climate Action Network,518,2016,2029,0.39,0.14,41228,International Aid,76,None,173087,no,99,National,1918368,30936,374
Reforestation Initiative in Germany #391,Reforestation Initiative,Germany,Green Earth Alliance,378,2020,2029,0.53,0.5,6754,Private Sector,65,Bioenergy,293549,no,52,International,380179,49169,627
Sustainable Agriculture Program in Japan #392,Sustainable Agriculture Program,Japan,Green Earth Alliance,1295,2016,2030,0.73,0.64,72698,International Aid,62,Wind,55168,no,66,International,1351965,14955,162
Renewable Energy Project in Brazil #393,Renewable Energy Project,Brazil,Sustainable Future Org,1506,2024,2035,0.28,0.59,97059,Government,81,Wind,455490,no,94,International,817604,17084,182
Emission Control Program in Japan #394,Emission Control Program,Japan,Green Growth Initiative,1134,2022,2027,0.47,0.16,98334,Government,60,Hydropower,467151,yes,69,International,142290,15323,589
Clean Transportation Initiative in Canada #395,Clean Transportation Initiative,Canada,Eco Innovation Lab,238,2019,2029,0.06,0.77,8875,Government,59,Bioenergy,322748,yes,53,International,1338210,45051,580
Clean Transportation Initiative in France #396,Clean Transportation Initiative,France,Green Growth Initiative,180,2011,2022,0.59,0.23,74182,Private Sector,67,Hydropower,389426,no,63,National,968802,14237,601
Waste Management Plan in Brazil #397,Waste Management Plan,Brazil,Green Earth Alliance,1485,2010,2019,0.48,0.78,86753,Government,74,Geothermal,399490,no,67,National,1250278,48891,71
Sustainable Agriculture Program in China #398,Sustainable Agriculture Program,China,Clean Energy Foundation,611,2025,2032,0.22,0.36,50609,International Aid,99,Bioenergy,372346,yes,55,International,700867,34592,268
Climate Education Program in Germany #399,Climate Education Program,Germany,Sustainable Future Org,982,2025,2035,0.56,0.35,3517,International Aid,85,Bioenergy,406239,no,86,National,1520837,15273,876
Climate Education Program in India #400,Climate Education Program,India,Clean Energy Foundation,465,2014,2024,0.5,0.96,80348,International Aid,53,Geothermal,433340,no,50,National,1614010,34066,354
Waste Management Plan in Brazil #401,Waste Management Plan,Brazil,Global Renewable Group,348,2017,2028,0.65,0.12,12727,Private Sector,58,Solar,495731,no,87,International,400359,39528,782
Reforestation Initiative in Brazil #402,Reforestation Initiative,Brazil,Eco Innovation Lab,1868,2011,2024,0.5,0.46,46739,Private Sector,94,Wind,231161,yes,68,International,170640,33634,575
Energy Efficiency Campaign in USA #403,Energy Efficiency Campaign,USA,Global Renewable Group,713,2014,2028,0.63,0.23,77359,Government,52,Solar,404905,yes,95,National,1929885,23139,484
Renewable Energy Project in China #404,Renewable Energy Project,China,Green Earth Alliance,467,2013,2021,0.29,0.75,63041,International Aid,92,Hydropower,69374,no,62,International,873584,4815,291
Clean Transportation Initiative in Canada #405,Clean Transportation Initiative,Canada,Green Earth Alliance,1481,2011,2017,0.62,0.82,20638,Private Sector,71,None,208691,no,89,International,1583398,34512,590
Energy Efficiency Campaign in UK #406,Energy Efficiency Campaign,UK,Eco Warriors,605,2023,2037,0.23,0.8,32164,Government,66,Wind,330312,yes,84,National,897284,18000,195
Climate Education Program in India #407,Climate Education Program,India,Eco Warriors,1603,2016,2022,0.79,0.26,9509,International Aid,79,Solar,459245,yes,98,National,1970969,21888,436
Climate Education Program in Brazil #408,Climate Education Program,Brazil,Zero Emissions Initiative,1173,2021,2034,0.1,0.27,16279,International Aid,61,Geothermal,406779,no,94,International,1402971,11906,612
Climate Education Program in India #409,Climate Education Program,India,Green Earth Alliance,1325,2016,2023,0.12,0.64,88777,International Aid,83,None,450202,yes,52,National,1735587,32728,533
Green Infrastructure Development in UK #410,Green Infrastructure Development,UK,Eco Warriors,849,2021,2034,0.38,0.4,54166,Government,82,Solar,13307,yes,94,National,1592094,2140,243
Reforestation Initiative in Australia #411,Reforestation Initiative,Australia,Earth Guardians,1191,2022,2033,0.44,0.68,29672,Government,52,Solar,224126,no,59,National,99371,5494,506
Waste Management Plan in USA #412,Waste Management Plan,USA,Global Renewable Group,347,2018,2026,0.61,0.44,68229,Private Sector,79,Hydropower,327098,yes,54,National,1196898,549,309
Clean Transportation Initiative in Canada #413,Clean Transportation Initiative,Canada,Sustainable Future Org,1477,2012,2017,0.88,0.24,33634,Private Sector,86,Geothermal,318399,yes,87,National,26479,2206,880
Green Infrastructure Development in Brazil #414,Green Infrastructure Development,Brazil,Earth Guardians,1206,2017,2024,0.95,0.27,31052,International Aid,95,Bioenergy,257297,yes,70,International,128285,5313,304
Reforestation Initiative in France #415,Reforestation Initiative,France,Zero Emissions Initiative,354,2023,2038,0.63,0.36,42279,Private Sector,77,Solar,111484,yes,88,National,170003,24333,163
Renewable Energy Project in USA #416,Renewable Energy Project,USA,Global Renewable Group,178,2012,2024,0.15,0.48,30387,Private Sector,69,Geothermal,271960,no,89,National,657662,21604,426
Emission Control Program in Australia #417,Emission Control Program,Australia,Clean Energy Foundation,1974,2012,2027,0.88,0.45,21164,Government,57,Hydropower,356371,yes,83,International,1864879,49228,37
Clean Transportation Initiative in France #418,Clean Transportation Initiative,France,Eco Innovation Lab,771,2024,2032,0.05,0.85,73298,International Aid,94,Solar,402401,yes,80,International,1810295,42172,947
Reforestation Initiative in India #419,Reforestation Initiative,India,Green Earth Alliance,1189,2023,2028,0.23,0.8,15197,Private Sector,58,Solar,110341,no,98,National,605851,2530,822
Emission Control Program in India #420,Emission Control Program,India,Eco Innovation Lab,1604,2022,2036,0.65,0.38,71581,Government,94,None,251064,yes,67,National,1212256,8779,215
Reforestation Initiative in Brazil #421,Reforestation Initiative,Brazil,Green Earth Alliance,329,2018,2033,0.66,0.73,93171,Government,86,None,271927,yes,83,International,1397436,8445,305
Energy Efficiency Campaign in Canada #422,Energy Efficiency Campaign,Canada,Eco Warriors,1223,2020,2033,0.41,0.15,54503,Government,53,Bioenergy,154191,no,51,National,1166766,19549,133
Water Conservation Project in Japan #423,Water Conservation Project,Japan,Sustainable Future Org,1491,2014,2023,0.48,0.89,60103,Government,65,Bioenergy,141659,yes,97,National,885352,23927,61
Reforestation Initiative in UK #424,Reforestation Initiative,UK,Zero Emissions Initiative,642,2022,2031,0.46,0.75,9584,Government,65,Bioenergy,5712,yes,85,National,1049767,44298,434
Renewable Energy Project in France #425,Renewable Energy Project,France,Global Renewable Group,1217,2016,2027,0.17,0.66,52609,Government,98,Solar,162766,no,98,International,498200,35498,376
Reforestation Initiative in Canada #426,Reforestation Initiative,Canada,Eco Innovation Lab,1933,2023,2029,0.52,0.74,86226,Private Sector,89,Bioenergy,86971,yes,97,National,1057431,12980,675
Green Infrastructure Development in India #427,Green Infrastructure Development,India,Green Growth Initiative,1755,2015,2025,0.89,0.17,3398,International Aid,62,None,458070,yes,68,National,1336355,25059,622
